UV_comp1,UV_comp2,UV_comp3,UV_comp4,TLC_comp1,TLC_comp2,TLC_comp3,TLC_comp4,TLC_comp5,TLC_comp6,LogIC50
11.793834,1.388502,0.660065,-1.185578,3.379193,-0.121181,-0.576814,-0.619342,0.989844,0.563394,4.894
5.614721,2.419686,-0.821971,5.1094,3.527673,0.161912,-2.237234,2.441684,-1.10008,-0.091428,5.422
1.588422,2.9618,0.880851,-1.678225,-6.666076,-2.086492,-2.377423,0.280801,0.690005,0.117298,5.029
0.105652,3.088375,0.773105,-1.521936,2.663299,-0.423597,-0.450966,-0.716549,0.859876,0.550612,5.162
-3.853133,-2.734568,-0.151553,-0.658257,-0.491165,1.081284,0.501795,-0.392889,-0.741744,-1.339902,4.96
5.380898,0.139637,2.031634,0.934732,1.005278,-0.177705,0.076171,-0.409302,0.01524,-0.031059,5.622
-12.195114,2.509767,-2.06687,0.280377,-2.593439,5.629652,0.773554,0.794808,0.114375,0.966089,5.121
-4.198362,-0.798137,2.122157,0.791207,0.112274,1.217795,-0.374761,-0.47907,0.542131,-0.808875,5.367
-13.313113,3.197206,0.561527,-0.312738,-0.998033,-0.006877,0.399334,-0.313515,-0.638245,-0.390413,5.099
3.383434,-0.574301,-0.765913,-0.203542,0.396907,-1.265924,0.349218,-0.463117,-0.43831,0.37574,5.304
1.134735,-0.793183,-1.375569,-0.238475,-0.162864,-2.231863,2.617411,2.112711,1.314052,-0.326088,5.142
1.056993,-1.410434,-3.801013,-0.536045,-0.530087,-1.077456,0.684303,-0.396366,-0.894823,0.248247,5.404
9.221899,0.298171,0.950961,-0.866183,-0.353673,-1.556504,0.624543,-0.357767,-0.842954,0.666883,5.236
3.796316,-1.198581,-2.035256,-0.813351,-0.755713,-0.868654,0.806149,-0.388918,-0.985574,0.345681,5.203
-2.550302,-6.679723,0.748147,0.451624,0.155945,1.45204,-0.311787,-0.528548,0.456947,-0.735626,5.194
-6.966882,-1.814217,2.289698,0.446991,1.310481,0.273568,-0.503491,-0.564621,0.659259,-0.110552,5.498
