Component 1,Component 2,Component 3,Component 4,LogIC50
3.905418,0.263696,2.988177,0.339454,1.894
3.173789,-0.095323,1.205239,-0.08988,2.422
-6.329831,3.55366,1.513557,0.874375,2.029
2.617838,0.453084,0.678085,-0.044038,2.162
-0.441622,-1.064807,-0.524032,-0.048983,1.96
0.82165,0.221965,-0.216158,-0.060902,2.622
-4.979135,-3.835235,1.693953,-1.235022,2.121
-0.072879,-0.700787,-1.299238,-0.586733,2.367
-0.42877,-1.728661,-1.647119,3.150694,2.099
0.671626,0.832522,-0.320689,-0.075689,2.304
0.094449,1.284008,-2.006392,-2.049505,2.142
-0.269034,0.700992,-0.719338,-0.090532,2.404
-0.011359,0.906264,-0.703351,-0.066582,2.236
-0.256521,0.386532,-0.55789,-0.064511,2.203
0.322592,-1.221237,-0.0586,0.066455,2.194
1.181789,0.043326,-0.026204,-0.018603,2.498
