-0.395Rf9-0.387Rf10-0.381Rf7-0.335Rf8-0.305Rf6...,0.452Rf2+0.433Rf5-0.372Rf12+0.371Rf4-0.301Rf11...,'0.494Rf13-0.449Rf6-0.422Rf1-0.388Rf3+0.24 Rf12...',LogIC50
3.379193,-0.121181,-0.576814,1.894
3.527673,0.161912,-2.237234,2.422
-6.666076,-2.086492,-2.377423,2.029
2.663299,-0.423597,-0.450966,2.162
-0.491165,1.081284,0.501795,1.96
1.005278,-0.177705,0.076171,2.622
-2.593439,5.629652,0.773554,2.121
0.112274,1.217795,-0.374761,2.367
-0.998033,-0.006877,0.399334,2.099
0.396907,-1.265924,0.349218,2.304
-0.162864,-2.231863,2.617411,2.142
-0.530087,-1.077456,0.684303,2.404
-0.353673,-1.556504,0.624543,2.236
-0.755713,-0.868654,0.806149,2.203
0.155945,1.45204,-0.311787,2.194
1.310481,0.273568,-0.503491,2.498
